PROJECT LINE COUNT REPORT
Generated: 2025-07-02 14:32:38
Project Path: dewetra2-frontend/
Total Files Analyzed: 414

SUMMARY BY LANGUAGE:
CSS: 34 files | 61672 lines
HTML: 113 files | 22653 lines
JSON: 6 files | 42079 lines
Markdown: 2 files | 41 lines
JavaScript: 259 files | 121198 lines

DETAILED FILE LIST:
Path | Total | Code | Blank | Comments | Language
dewetra2-frontend/portal-dewetra2/js/chart/floodproof/DeterministicLevelHydrogramChartService.js | 408 | 280 | 82 | 46 | JavaScript
dewetra2-frontend/portal-dewetra2/js/chart/floodproof/DeterministicLevelVolumeHydrogramChartService.js | 361 | 272 | 54 | 35 | JavaScript
dewetra2-frontend/portal-dewetra2/js/chart/floodproof/FANFAR_DeterministicHydrogramChartService.js | 374 | 278 | 74 | 22 | JavaScript
dewetra2-frontend/portal-dewetra2/js/chart/floodproof/MaximumHydrogramChartService.js | 801 | 514 | 200 | 87 | JavaScript
dewetra2-frontend/portal-dewetra2/js/chart/floodproof/MaximumLevelHydrogramChartService.js | 791 | 533 | 197 | 61 | JavaScript
dewetra2-frontend/portal-dewetra2/js/chart/floodproof/MaximumLevelVolumeHydrogramChartService.js | 497 | 382 | 101 | 14 | JavaScript
dewetra2-frontend/portal-dewetra2/js/chart/floodproof/MultiDeterministicHydrogramChartService.js | 357 | 259 | 78 | 20 | JavaScript
dewetra2-frontend/portal-dewetra2/js/chart/floodproof/NWP_GFS_DeterministicHydrogramChartService.js | 378 | 282 | 74 | 22 | JavaScript
dewetra2-frontend/portal-dewetra2/js/chart/floodproof/NWP_GFS_MaximumHydrogramChartService.js | 803 | 516 | 200 | 87 | JavaScript
dewetra2-frontend/portal-dewetra2/js/chart/floodproof/NWP_GFS_ProbabilisticHydrogramChartService.js | 353 | 244 | 85 | 24 | JavaScript
dewetra2-frontend/portal-dewetra2/js/chart/floodproof/ProbabilisticHydrogramChartService.js | 348 | 242 | 84 | 22 | JavaScript
dewetra2-frontend/portal-dewetra2/js/chart/floodproof/ProbabilisticLevelHydrogramChartService.js | 374 | 266 | 86 | 22 | JavaScript
dewetra2-frontend/portal-dewetra2/js/chart/geocradle/GeocradleChemicalAnalysisChartService.js | 84 | 56 | 24 | 4 | JavaScript
dewetra2-frontend/portal-dewetra2/js/chart/geocradle/GeocradleSoilSpectraChartService.js | 195 | 155 | 35 | 5 | JavaScript
dewetra2-frontend/portal-dewetra2/js/chart/laminazione/dynamicRiverVolumeChartService.js | 383 | 263 | 84 | 36 | JavaScript
dewetra2-frontend/portal-dewetra2/js/chart/laminazione/laminazioneConfluenzaPagliaTevereChartService.js | 875 | 684 | 90 | 101 | JavaScript
dewetra2-frontend/portal-dewetra2/js/chart/laminazione/laminazioneConfluenzaValleBaschiChartService.js | 942 | 683 | 101 | 158 | JavaScript
dewetra2-frontend/portal-dewetra2/js/chart/laminazione/laminazioneLevelChartService.js | 1291 | 1098 | 95 | 98 | JavaScript
dewetra2-frontend/portal-dewetra2/js/chart/laminazione/laminazioneVolumeChartService.js | 1633 | 1436 | 90 | 107 | JavaScript
dewetra2-frontend/portal-dewetra2/js/chart/laminazione/showTotalRiverVolumeChartService.js | 410 | 293 | 93 | 24 | JavaScript
dewetra2-frontend/portal-dewetra2/js/chart/pheno/GSIChart.js | 213 | 178 | 29 | 6 | JavaScript
dewetra2-frontend/portal-dewetra2/js/chart/pheno/PhenolPhaseCfrChartService.js | 296 | 245 | 45 | 6 | JavaScript
dewetra2-frontend/portal-dewetra2/js/chart/pheno/SeasonAccumulatedChartService.js | 436 | 335 | 93 | 8 | JavaScript
dewetra2-frontend/portal-dewetra2/js/chart/pheno/SeasonPhenolPhaseChartService.js | 340 | 219 | 50 | 71 | JavaScript
dewetra2-frontend/portal-dewetra2/js/chart/pheno/TempCfrChartService.js | 228 | 181 | 41 | 6 | JavaScript
dewetra2-frontend/portal-dewetra2/js/chart/sensor/AnemometerChartService.js | 616 | 383 | 101 | 132 | JavaScript
dewetra2-frontend/portal-dewetra2/js/chart/sensor/BarometerChartService.js | 408 | 289 | 69 | 50 | JavaScript
dewetra2-frontend/portal-dewetra2/js/chart/sensor/Fuel_moistureChartService.js | 410 | 293 | 70 | 47 | JavaScript
dewetra2-frontend/portal-dewetra2/js/chart/sensor/HydrometerChartService.js | 506 | 351 | 104 | 51 | JavaScript
dewetra2-frontend/portal-dewetra2/js/chart/sensor/HydrometerQviewChartService.js | 478 | 330 | 98 | 50 | JavaScript
dewetra2-frontend/portal-dewetra2/js/chart/sensor/HydrometerVolumeChartService.js | 437 | 317 | 93 | 27 | JavaScript
dewetra2-frontend/portal-dewetra2/js/chart/sensor/HygrometerChartService.js | 410 | 293 | 70 | 47 | JavaScript
dewetra2-frontend/portal-dewetra2/js/chart/sensor/RadiometerChartService.js | 410 | 289 | 70 | 51 | JavaScript
dewetra2-frontend/portal-dewetra2/js/chart/sensor/RaingaugeChartService.js | 735 | 543 | 124 | 68 | JavaScript
dewetra2-frontend/portal-dewetra2/js/chart/sensor/ThermometerChartService.js | 411 | 292 | 72 | 47 | JavaScript
dewetra2-frontend/portal-dewetra2/js/chart/sensor/snowDepthChartService.js | 415 | 297 | 72 | 46 | JavaScript
dewetra2-frontend/portal-dewetra2/js/components/EULA/eula.js | 157 | 84 | 49 | 24 | JavaScript
dewetra2-frontend/portal-dewetra2/js/components/EULA/eulaPopUp.html | 101 | 70 | 27 | 4 | HTML
dewetra2-frontend/portal-dewetra2/js/components/EventTimeLine/EventTimelineModalComponent.js | 639 | 350 | 167 | 122 | JavaScript
dewetra2-frontend/portal-dewetra2/js/components/EventTimeLine/EventTimelineModalComponentOLD.js | 473 | 312 | 133 | 28 | JavaScript
dewetra2-frontend/portal-dewetra2/js/components/EventTimeLine/eventTimeLineComponent.js | 421 | 286 | 76 | 59 | JavaScript
dewetra2-frontend/portal-dewetra2/js/components/EventTimeLine/eventTimeLineView.html | 126 | 93 | 19 | 14 | HTML
dewetra2-frontend/portal-dewetra2/js/components/PROOFSChartManager/proofsChartComponent.js | 815 | 614 | 149 | 52 | JavaScript
dewetra2-frontend/portal-dewetra2/js/components/PROOFSChartManager/proofsChartView.html | 84 | 58 | 21 | 5 | HTML
dewetra2-frontend/portal-dewetra2/js/components/SENTINELChartManager/sentinelChartComponent.js | 400 | 308 | 65 | 27 | JavaScript
dewetra2-frontend/portal-dewetra2/js/components/SENTINELChartManager/sentinelChartView.html | 77 | 47 | 17 | 13 | HTML
dewetra2-frontend/portal-dewetra2/js/components/carousel/carouselComponents.js | 137 | 104 | 33 | 0 | JavaScript
dewetra2-frontend/portal-dewetra2/js/components/chartAxisSetter/chartAxisSetterComponents.js | 176 | 129 | 46 | 1 | JavaScript
dewetra2-frontend/portal-dewetra2/js/components/dam-italy-chart-manager/damItalyChartManagerComponent.html | 62 | 35 | 24 | 3 | HTML
dewetra2-frontend/portal-dewetra2/js/components/dam-italy-chart-manager/damItalyChartManagerComponent.js | 94 | 56 | 34 | 4 | JavaScript
dewetra2-frontend/portal-dewetra2/js/components/dam-italy-chart/damItalyChartComponent.js | 558 | 264 | 123 | 171 | JavaScript
dewetra2-frontend/portal-dewetra2/js/components/dam-italy-component/damItalyComponent.js | 2005 | 1941 | 38 | 26 | JavaScript
dewetra2-frontend/portal-dewetra2/js/components/datalog-caption/dataLogCaption.js | 124 | 97 | 22 | 5 | JavaScript
dewetra2-frontend/portal-dewetra2/js/components/date-range/dateRangeComponent.js | 185 | 128 | 48 | 9 | JavaScript
dewetra2-frontend/portal-dewetra2/js/components/date/dateComponent.js | 141 | 97 | 37 | 7 | JavaScript
dewetra2-frontend/portal-dewetra2/js/components/efas-reporting-point-info/efas_info.html | 98 | 65 | 18 | 15 | HTML
dewetra2-frontend/portal-dewetra2/js/components/efas-reporting-point-info/efas_info.js | 128 | 77 | 40 | 11 | JavaScript
dewetra2-frontend/portal-dewetra2/js/components/export-data/exportDataComponent.html | 174 | 129 | 41 | 4 | HTML
dewetra2-frontend/portal-dewetra2/js/components/export-data/exportDataComponent.js | 235 | 150 | 61 | 24 | JavaScript
dewetra2-frontend/portal-dewetra2/js/components/floodWaveView/floodWaveView.html | 101 | 84 | 14 | 3 | HTML
dewetra2-frontend/portal-dewetra2/js/components/floodWaveView/floodWaveView.js | 589 | 310 | 154 | 125 | JavaScript
